# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.94588083	-0.09257883	0	0.014999993	0	0
0	0.9480282	-0.09020942	0	0.016	0	0
0	0.95002973	-0.08795517	0	0.016999999	0	0
0	0.95189977	-0.08580808	0	0.018000005	0	0
0	0.9536514	-0.08375837	0	0.018999996	0	0
0	0.95529616	-0.08179875	0	0.019999998	0	0
0	0.95684326	-0.079923905	0	0.021000009	0	0
0	0.9583015	-0.07812703	0	0.022000011	0	0
0	0.9596783	-0.076403596	0	0.023	0	0
0	0.9609804	-0.07474844	0	0.023999993	0	0
0	0.9622143	-0.073156424	0	0.024999993	0	0
0	0.96338457	-0.07162494	0	0.026000006	0	0
0	0.9644969	-0.070148766	0	0.027000008	0	0
0	0.96555495	-0.06872587	0	0.027999999	0	0
0	0.96656275	-0.06735311	0	0.028999986	0	0
0	0.96752435	-0.06602589	0	0.029999986	0	0
0	0.9684425	-0.06474273	0	0.031000005	0	0
0	0.9693203	-0.06350118	0	0.032	0	0
0	0.97016054	-0.062297992	0	0.032999996	0	0
0	0.97096574	-0.06113136	0	0.033999998	0	0
0	0.971738	-0.059999015	0	0.035000008	0	0
0	0.97247964	-0.058898702	0	0.03600001	0	0
0	0.9731926	-0.057827957	0	0.036999997	0	0
0	0.97387874	-0.0567848	0	0.03799999	0	0
0	0.97453964	-0.055767342	0	0.039	0	0
0	0.9751774	-0.054772504	0	0.039999995	0	0
0	0.9757936	-0.05379737	0	0.041000005	0	0
0	0.9763898	-0.052838642	0	0.042000018	0	0
0	0.9769686	-0.051890522	0	0.04299999	0	0
0	0.9775324	-0.05094435	0	0.044000022	0	0
0	0.97808665	-0.04997994	0	0.04499999	0	0
0	0.9786499	-0.048916414	0	0.046	0	0
0	0.97918963	-0.047873788	0	0.047000017	0	0
0	0.9796632	-0.047039315	0	0.047999986	0	0
0	0.98012763	-0.046174765	0	0.049000017	0	0
0	0.98058	-0.045290973	0	0.049999986	0	0
0	0.98101354	-0.044412404	0	0.051	0	0
0	0.9825666	-9.9260964e-05	0	0.052000012	0	0
0	0.98287994	-7.630594e-05	0	0.052999977	0	0
0	0.9831855	-5.9780214e-05	0	0.054000016	0	0
0	0.9834838	-4.6851957e-05	0	0.05499998	0	0
0	0.98377466	-3.5884314e-05	0	0.055999998	0	0
0	0.9840588	-2.6977114e-05	0	0.057000015	0	0
0	0.98433614	-1.9285788e-05	0	0.057999972	0	0
0	0.984607	-1.3186344e-05	0	0.05900001	0	0
0	0.98487175	-7.98048e-06	0	0.059999973	0	0
0	0.9851303	-3.4559416e-06	0	0.060999993	0	0
0	0.98538333	3.6584674e-07	0	0.06200001	0	0
0	0.98563045	3.4542072e-06	0	0.062999986	0	0
0	0.9858723	6.199437e-06	0	0.064	0	0
0	0.98610884	8.473053e-06	0	0.06500003	0	0
0	0.9863403	1.04042065e-05	0	0.06599999	0	0
0	0.9865668	1.2020873e-05	0	0.067000024	0	0
0	0.9867885	1.3325282e-05	0	0.067999996	0	0
0	0.98700553	1.4429706e-05	0	0.069	0	0
0	0.9872182	1.5328591e-05	0	0.070000015	0	0
0	0.98742634	1.6072068e-05	0	0.071	0	0
0	0.98763055	1.6654822e-05	0	0.07200002	0	0
0	0.9878304	1.710629e-05	0	0.07299998	0	0
0	0.98802644	1.7476015e-05	0	0.07399999	0	0
